dir,total_files,files_with_iri,files_without_iri,unique_iris
patterns-repository/AOS_AGROVOC_Concept_Server_fundation_ontology_model,1,0,1,0
patterns-repository/ActingFor,4,2,2,2
patterns-repository/Action,1,1,0,1
patterns-repository/Actuation-Actuator-Effect,2,2,0,1
patterns-repository/Affordance,2,2,0,2
patterns-repository/AgentRole,3,2,1,2
patterns-repository/Airline,1,1,0,1
patterns-repository/Airline.owl,1,1,0,1
patterns-repository/AlgorithmImplementationExecution,1,1,0,1
patterns-repository/An_Ontology_Design_Pattern_for_Activity_Reasoning,1,1,0,1
patterns-repository/AquaticResourceObservation,1,1,0,1
patterns-repository/AquaticResources,2,2,0,2
patterns-repository/Auriol_Degbelo,1,1,0,2
patterns-repository/Bag,1,1,0,1
patterns-repository/BasicPlan,1,1,0,1
patterns-repository/BasicPlanExecution,1,1,0,1
patterns-repository/Biological_Entities,2,0,2,0
patterns-repository/Born_Digital_Archives,2,1,1,1
patterns-repository/CatchRecord,1,1,0,1
patterns-repository/ChessGame,1,1,0,1
patterns-repository/City_Resident_Pattern,3,3,0,4
patterns-repository/Classification,2,1,1,1
patterns-repository/ClimaticZone,4,4,0,4
patterns-repository/Co-participation,2,2,0,2
patterns-repository/Collection,3,3,0,3
patterns-repository/CollectionEntity,3,3,0,3
patterns-repository/CommunicationEvent,1,1,0,1
patterns-repository/Communities,1,1,0,1
patterns-repository/Componency,2,1,1,1
patterns-repository/ComputationalEnvironment,2,2,0,2
patterns-repository/Computer_System,2,1,1,1
patterns-repository/ConceptGroup,1,0,1,0
patterns-repository/ConceptTerms,2,0,2,0
patterns-repository/Constituency,2,1,1,1
patterns-repository/ContentOPs,12,11,1,9
patterns-repository/ContextualizedWinstonPartWhole,1,1,0,1
patterns-repository/Controlflow,2,1,1,1
patterns-repository/CountingAs,1,1,0,1
patterns-repository/Criterion,2,0,2,0
patterns-repository/CriterionS,2,0,2,0
patterns-repository/CriterionSetter,3,0,3,0
patterns-repository/DataTransformationPattern,1,0,1,0
patterns-repository/Description,2,1,1,1
patterns-repository/DescriptionAndSituation,2,2,0,2
patterns-repository/DetectorFinalState,1,1,0,1
patterns-repository/DigitalVideo,2,1,1,2
patterns-repository/EEP,1,1,0,1
patterns-repository/EthnicGroup,1,1,0,1
patterns-repository/EventCore,1,1,0,1
patterns-repository/EventProcessing,2,2,0,2
patterns-repository/Experience_&_Observation,4,2,2,3
patterns-repository/Faceted_Classification_Scheme,2,0,2,0
patterns-repository/Food_Recipe_Ingredient_Substitution_ODP,2,1,1,2
patterns-repository/Food_Recipe_Ingredient_Substitution_Ontology_Design_Pattern,2,1,1,2
patterns-repository/GO_Top,1,1,0,1
patterns-repository/GearSpecies,2,2,0,2
patterns-repository/GearVessel,2,2,0,2
patterns-repository/GearWaterArea,1,1,0,1
patterns-repository/HazardousSituation,1,1,0,2
patterns-repository/InformationObjectsAndRepresentationLanguages,1,1,0,1
patterns-repository/Information_realization,3,3,0,3
patterns-repository/IntensionExtension,2,2,0,2
patterns-repository/Interest,1,1,0,2
patterns-repository/Invoice,1,1,0,1
patterns-repository/LinnaeanTaxonomy,1,1,0,1
patterns-repository/List,1,1,0,1
patterns-repository/Logistics_Service_(LoSe_ODP),2,1,1,1
patterns-repository/Material_Transformation,1,1,0,2
patterns-repository/MaterialsProperty,1,1,0,2
patterns-repository/Metonymy-species-commodity,2,0,2,0
patterns-repository/MicroblogEntry,1,1,0,1
patterns-repository/Move,1,1,0,1
patterns-repository/Nary_Participation,2,2,0,2
patterns-repository/NewsReportingEvent,1,1,0,1
patterns-repository/Notepattern,1,1,0,1
patterns-repository/OOPMetrics,1,1,0,1
patterns-repository/Object_with_states,5,5,0,5
patterns-repository/Objectrole,2,1,1,1
patterns-repository/Observation,2,2,0,2
patterns-repository/Parameter,2,2,0,2
patterns-repository/PartOf,3,2,1,2
patterns-repository/ParticipantRole,1,1,0,1
patterns-repository/Participation,2,2,0,2
patterns-repository/Partition,1,0,1,0
patterns-repository/PeriodicInterval,1,1,0,1
patterns-repository/Persons,1,1,0,1
patterns-repository/PharmaInnova,3,1,2,1
patterns-repository/Place,3,3,0,3
patterns-repository/PlanConditions,1,1,0,1
patterns-repository/Policy,2,1,1,1
patterns-repository/Pollution,1,1,0,1
patterns-repository/Price,1,1,0,1
patterns-repository/PrivacyPolicyPersonalData,1,1,0,2
patterns-repository/Provenance,1,1,0,2
patterns-repository/RTMSmapping,2,2,0,2
patterns-repository/RecurrentEventSeries,1,1,0,1
patterns-repository/RecurrentSituationSeries,2,2,0,2
patterns-repository/Region,2,2,0,2
patterns-repository/ReportingEvent,1,1,0,1
patterns-repository/ReportingNewsEvent,1,1,0,1
patterns-repository/ResourceAbundanceObservation,1,1,0,1
patterns-repository/ResourceExploitationObservation,2,2,0,2
patterns-repository/RoleDependentNames,1,1,0,1
patterns-repository/Role_task,3,3,0,3
patterns-repository/Scorepart,1,1,0,1
patterns-repository/Sequence,2,2,0,2
patterns-repository/Set,1,1,0,1
patterns-repository/SimpleOrAggregated,1,1,0,2
patterns-repository/SimpleTopic,1,1,0,1
patterns-repository/Situation,3,3,0,3
patterns-repository/SmartHome,9,9,0,8
patterns-repository/SmartHome_Event,1,0,1,0
patterns-repository/SmartHome_FeatureOfInterest,1,1,0,1
patterns-repository/SmartHome_Geometry,1,1,0,1
patterns-repository/SmartHome_Network,1,1,0,2
patterns-repository/SmartHome_Object,1,1,0,2
patterns-repository/SmartHome_Place,2,2,0,3
patterns-repository/SmartHome_Property,1,1,0,2
patterns-repository/SmartHome_Sensing,1,1,0,1
patterns-repository/SmartHome_Situation,1,1,0,2
patterns-repository/SmartHome_TimeInterval,1,1,0,2
patterns-repository/Spatial_Graph_Adapter_(SGA),1,1,0,1
patterns-repository/SpatioTemporalExtent,1,1,0,1
patterns-repository/SpeciesBathymetry,3,3,0,3
patterns-repository/SpeciesConditions,3,3,0,3
patterns-repository/SpeciesConservation,1,1,0,1
patterns-repository/SpeciesEat,2,2,0,2
patterns-repository/SpeciesHabitat,3,3,0,3
patterns-repository/SpeciesNames,2,2,0,2
patterns-repository/Tagging,1,1,0,1
patterns-repository/TaskExecution,5,5,0,5
patterns-repository/Template_Instance,1,1,0,1
patterns-repository/TimeIndexedClassification,3,3,0,3
patterns-repository/TimeIndexedPartOf,3,2,1,2
patterns-repository/TimeIndexedSituation,1,1,0,1
patterns-repository/TimeInterval,2,2,0,2
patterns-repository/TimePeriod,1,1,0,1
patterns-repository/Time_indexed_participation,1,1,0,1
patterns-repository/Time_indexed_person_role,6,6,0,6
patterns-repository/Topic,2,2,0,2
patterns-repository/Trajectory,1,1,0,1
patterns-repository/Transition,1,1,0,1
patterns-repository/TransportPattern,1,1,0,1
patterns-repository/Types_of_entities,2,1,1,1
patterns-repository/VerticalDistribution,4,4,0,4
patterns-repository/VesselSpecies,4,4,0,4
patterns-repository/VesselWaterArea,2,2,0,2
patterns-repository/WinstonPartWhole,1,1,0,1
